TIME_PERIOD,CPI - index,CPI - YoY,HICP - index,HICP - YoY,PPI - YoY,PPI - index,Unemmployment - YoY,Unemployment - %,wage rate - YoY,wage rate - index,AEX -price ,AEX change,Country Level Index of Financial Stress,Industrial_confidence,Services_confidence,Consumer_confidence,Retail_confidence,Construction_confidence,Economic_sentiment,Employment_expectations,Inflation_expectations,Exchangerate_CPI,Exchangerate_PPI,10years_gov_bond_rate,3month_euribor,Loans_upto_1M,Loans_house,Loans_over_1M,M1,M2,M3,US_Dollar_per_EUR,Construction_index,Consumption,Export,GDP,Import,Industrial_production_index,Manufacturing_index,Retain_trade_index
2000-M01,73.55,1.799307958,72.83,1.63271002,11.50442478,75.6,-14.58333333,4.1,.,77.30147999,664.28,8.48%,0.1172,2.7,19.6,9.4,28.3,15.6,114.7,116.1,33.9,91.0541,91.8332,5.67,1.4431,.,.,.,45.65105,50.34723,51.21468,0.9791,92.82539683,68235222197,78064378191,1.38217E+11,69396001384,83.84363258,80.85147935,75.08001055
2000-M02,74,1.914336868,73.24,1.524812864,13.18518519,76.4,-12.5,4.2,.,77.42004054,662.29,-0.30%,0.1313,3.2,20.1,8,26.8,15.8,114,114.3,21.7,89.4337,90.6604,5.66,1.6368,.,.,.,45.68166,50.54759,51.47979,0.9714,111.1111111,68235222197,78064378191,1.38217E+11,69396001384,81.25349748,84.36676106,75.08001055
2000-M03,74.66,1.93883124,74.07,1.604938272,12.90322581,77,-12.5,4.2,.,77.65716165,661.38,-0.14%,0.1087,4.4,20.1,8.9,29,17.7,114.8,112.8,24.5,88.0058,89.2386,5.48,1.747,.,.,.,46.01603,50.66827,51.76973,0.9553,118.984127,68235222197,78064378191,1.38217E+11,69396001384,96.60244624,96.7874231,85.55629109
2000-M04,74.78,1.880108992,74.34,1.682396389,12.80931587,77.5,-11.36363636,3.9,.,78.42780523,655.5,-0.89%,0.1512,4.3,12.1,8.9,29.7,19.2,111.8,113.4,21.7,86.6481,88.0055,5.38,2.2253,.,.,.,46.39183,50.91055,51.98287,0.9085,111.8730159,68459608308,80090717713,1.3965E+11,71472589752,86.91342234,85.30416951,85.55629109
2000-M05,75.02,2.179242713,74.55,1.969634797,14.22351234,78.7,-11.62790698,3.8,.,78.42780523,672.14,2.54%,0.1321,4.8,15.2,7.5,28.4,15.6,113.3,112,27,84.9156,86.6849,5.5,2.562,.,.,.,46.10333,50.89887,51.98622,0.9303,118.4761905,68459608308,80090717713,1.3965E+11,71472589752,95.45127508,95.49848648,90.79443137
2000-M06,74.94,2.461033634,74.55,2.460142936,13.68876081,78.9,-13.95348837,3.7,.,78.42780523,668.18,-0.59%,0.0881,4.7,18.9,8.9,26.4,18.7,114.4,112,28.4,88.0281,89.4284,5.31,2.4017,.,.,.,46.02951,50.97224,51.96785,0.9556,115.5555556,68459608308,80090717713,1.3965E+11,71472589752,86.05004397,90.92862025,89.04838461
2000-M07,74.75,2.31316726,74.34,2.750518314,12.44695898,79.5,-13.15789474,3.3,.,79.2577291,689.52,3.19%,0.0774,6.6,23.2,6.4,26.6,21.5,116.7,111.1,21.6,87.2182,88.8565,5.4,2.4829,.,.,.,46.24069,51.08094,52.11268,0.9243,86.47619048,69034573476,82070188730,1.4082E+11,71939556067,85.09073467,86.00722586,86.42931447
2000-M08,75.08,2.205281786,74.62,2.457778388,12.34221599,80.1,-13.15789474,3.3,.,79.31700938,661.52,-4.06%,0.0892,4.9,22.8,7,26.7,22.8,115.3,113.3,25.3,84.8607,86.7185,5.36,2.7771,.,.,.,46.42943,51.35237,52.34299,0.8906,68.19047619,69034573476,82070188730,1.4082E+11,71939556067,84.03549444,86.59310614,84.68326772
2000-M09,75.99,2.967479675,75.31,2.924695914,12.88088643,81.5,-12.5,3.5,.,79.79125158,680.56,2.88%,0.0598,4.4,22.1,6.4,28.6,23.3,114.5,113.7,30.5,83.1307,85.2394,5.41,2.4528,.,.,.,46.24088,51.35152,52.32865,0.8765,125.4603175,69034573476,82070188730,1.4082E+11,71939556067,87.39307698,94.44390196,89.92140799
2000-M10,76.12,3.059842946,75.58,3.194975423,12.9476584,82,-14.63414634,3.5,.,79.79125158,649.92,-4.50%,0.0578,5.7,22.2,9,28.5,17.9,115.4,115.5,30.9,81.9801,84.0152,5.35,2.6413,.,.,.,46.3624,51.45742,52.45844,0.8417,127.8730159,69478315725,85629430898,1.42295E+11,75101909071,93.14893277,100.3027048,87.30233785
2000-M11,76.11,2.920892495,75.51,2.902698283,11.11111111,82,-15,3.4,.,79.79125158,637.6,-1.90%,0.0441,5,20.4,7.4,25.6,23.2,113.8,116.2,34.3,82.5287,84.605,5.3,2.592,.,.,.,46.33011,51.52686,52.55548,0.8684,124.1904762,69478315725,85629430898,1.42295E+11,75101909071,95.16348229,96.20154282,91.66745474
2000-M12,75.66,2.659430122,75.17,2.916210296,7.754010695,80.6,-16.21621622,3.1,.,79.96909241,639.98,0.37%,0.108,3.8,18.3,6.5,25.4,26.5,111.3,115.5,42.3,85.1921,87.3842,5.03,2.4392,.,.,.,46.56098,51.64953,52.81301,0.9305,91.3015873,69478315725,85629430898,1.42295E+11,75101909071,90.17507395,84.60111317,105.6358288
2001-M01,76.31,3.752549286,76.21,4.640944666,6.084656085,80.2,-17.07317073,3.4,4.141104294,80.5026149,597.33,-6.66%,0.0919,2.9,13.4,3.4,24.6,19.4,110.2,113.6,46.3,88.2159,90.6504,4.93,2.7707,.,.,.,46.58586,51.81201,53.15565,0.9293,96.63492063,69792910604,83619132570,1.42989E+11,75074896727,88.44831721,85.8900498,81.1911742
2001-M02,76.98,4.027027027,76.89,4.983615511,5.366492147,80.5,-19.04761905,3.4,4.185708897,80.66061807,558.36,-6.52%,0.0686,1.2,12.7,0.8,24.3,16.5,107.2,110.9,40.7,87.5869,89.8546,4.92,2.7558,.,.,.,46.81794,52.07879,53.41687,0.9248,108.4444444,69792910604,83619132570,1.42989E+11,75074896727,79.81453354,83.78088077,77.76577689
